time,Got an appt,In den nächsten zwei Wochen,Am selben Tag,In über zwei Wochen
00:00,24.21,3.71,12.03,8.48
00:30,21.61,3.25,9.56,8.81
01:00,18.66,2.58,8.18,7.9
01:30,15.22,1.7,6.76,6.76
02:00,14.6,1.71,7.2,5.69
02:30,11.86,1.5,6.36,3.99
03:00,10.91,1.73,7.05,2.13
03:30,10.28,1.95,6.41,1.92
04:00,16.62,2.37,9.59,4.66
04:30,25.2,2.15,16.03,7.02
05:00,35.63,2.58,22.77,10.28
05:30,44.98,2.36,27.77,14.85
06:00,53.82,3.23,32.94,17.65
06:30,55.4,3.87,34.06,17.47
07:00,58.81,3.89,32.38,22.53
07:30,59.33,4.74,29.73,24.86
08:00,60.36,6.44,27.89,26.04
08:30,59.73,6.25,22.97,30.51
09:00,58.74,5.86,18.15,34.73
09:30,54.24,7.43,14.11,32.71
10:00,51.35,7.41,11.08,32.86
10:30,46.09,6.95,7.23,31.9
11:00,46.51,8.0,6.12,32.38
11:30,43.09,9.74,5.74,27.61
12:00,42.22,11.23,4.6,26.39
12:30,43.82,12.32,4.18,27.32
13:00,42.91,11.54,4.23,27.15
13:30,38.83,11.11,4.87,22.85
14:00,38.49,9.96,5.17,23.36
14:30,38.42,10.06,4.51,23.85
15:00,35.58,12.75,3.43,19.39
15:30,36.64,17.19,2.55,16.9
16:00,37.63,19.52,1.48,16.64
16:30,37.54,20.62,0.21,16.71
17:00,34.03,18.74,-0.0,15.29
17:30,32.45,15.99,-0.0,16.45
18:00,31.1,12.36,-0.0,18.74
18:30,28.85,9.66,-0.0,19.18
19:00,29.36,8.35,-0.0,21.01
19:30,30.17,10.27,-0.0,19.9
20:00,28.64,10.24,-0.0,18.4
20:30,25.15,9.43,-0.0,15.73
21:00,19.74,8.29,-0.0,11.46
21:30,13.64,7.23,-0.0,6.41
22:00,7.62,3.58,-0.0,4.04
22:30,7.87,5.25,-0.0,2.62
23:00,9.88,8.56,-0.0,1.32
23:30,14.51,12.53,-0.0,1.98
